Total Directions = 120
 1.8932132647801048e-01  1.8932132647801048e-01  9.6349098111046849e-01  1.4027705682504860e-01
 1.8932132647801048e-01  5.0888175558261894e-01  8.3975996223668470e-01  1.1392852509533355e-01
 1.8932132647801048e-01  6.9431888759438432e-01  6.9431888759438432e-01  7.0754584434114268e-02
 1.8932132647801048e-01  8.3975996223668481e-01  5.0888175558261894e-01  1.1392852509533355e-01
 1.8932132647801048e-01  9.6349098111046849e-01  1.8932132647801067e-01  1.4027705682504860e-01
 5.0888175558261894e-01  1.8932132647801048e-01  8.3975996223668470e-01  1.1392852509533355e-01
 5.0888175558261894e-01  5.0888175558261894e-01  6.9431888759438432e-01  8.4710084148468881e-02
 5.0888175558261894e-01  6.9431888759438432e-01  5.0888175558261894e-01  8.4710084148468881e-02
 5.0888175558261894e-01  8.3975996223668481e-01  1.8932132647801009e-01  1.1392852509533355e-01
 6.9431888759438432e-01  1.8932132647801048e-01  6.9431888759438432e-01  7.0754584434114268e-02
 6.9431888759438432e-01  5.0888175558261894e-01  5.0888175558261894e-01  8.4710084148468881e-02
 6.9431888759438432e-01  6.9431888759438432e-01  1.8932132647801039e-01  7.0754584434114268e-02
 8.3975996223668481e-01  1.8932132647801048e-01  5.0888175558261883e-01  1.1392852509533355e-01
 8.3975996223668481e-01  5.0888175558261894e-01  1.8932132647801023e-01  1.1392852509533355e-01
 9.6349098111046849e-01  1.8932132647801048e-01  1.8932132647801059e-01  1.4027705682504860e-01
-1.8932132647801048e-01  1.8932132647801048e-01  9.6349098111046849e-01  1.4027705682504860e-01
-1.8932132647801048e-01  5.0888175558261894e-01  8.3975996223668470e-01  1.1392852509533355e-01
-1.8932132647801048e-01  6.9431888759438432e-01  6.9431888759438432e-01  7.0754584434114268e-02
-1.8932132647801048e-01  8.3975996223668481e-01  5.0888175558261894e-01  1.1392852509533355e-01
-1.8932132647801048e-01  9.6349098111046849e-01  1.8932132647801067e-01  1.4027705682504860e-01
-5.0888175558261894e-01  1.8932132647801048e-01  8.3975996223668470e-01  1.1392852509533355e-01
-5.0888175558261894e-01  5.0888175558261894e-01  6.9431888759438432e-01  8.4710084148468881e-02
-5.0888175558261894e-01  6.9431888759438432e-01  5.0888175558261894e-01  8.4710084148468881e-02
-5.0888175558261894e-01  8.3975996223668481e-01  1.8932132647801009e-01  1.1392852509533355e-01
-6.9431888759438432e-01  1.8932132647801048e-01  6.9431888759438432e-01  7.0754584434114268e-02
-6.9431888759438432e-01  5.0888175558261894e-01  5.0888175558261894e-01  8.4710084148468881e-02
-6.9431888759438432e-01  6.9431888759438432e-01  1.8932132647801039e-01  7.0754584434114268e-02
-8.3975996223668481e-01  1.8932132647801048e-01  5.0888175558261883e-01  1.1392852509533355e-01
-8.3975996223668481e-01  5.0888175558261894e-01  1.8932132647801023e-01  1.1392852509533355e-01
-9.6349098111046849e-01  1.8932132647801048e-01  1.8932132647801059e-01  1.4027705682504860e-01
 1.8932132647801048e-01 -1.8932132647801048e-01  9.6349098111046849e-01  1.4027705682504860e-01
 1.8932132647801048e-01 -5.0888175558261894e-01  8.3975996223668470e-01  1.1392852509533355e-01
 1.8932132647801048e-01 -6.9431888759438432e-01  6.9431888759438432e-01  7.0754584434114268e-02
 1.8932132647801048e-01 -8.3975996223668481e-01  5.0888175558261894e-01  1.1392852509533355e-01
